

Hiperparámetros por defecto  
        n_bins: int = 20,
        lr: float = 0.1,
        gamma: float = 0.99,
        epsilon_start: float = 1.0,
        epsilon_end: float = 0.01,
        epsilon_decay: float = 0.9995,

Resultados Entrenamiento

Episode 18300/20000 | Avg Reward: -128.24 | Epsilon: 0.0100 | States visited: 298
Episode 18400/20000 | Avg Reward: -127.34 | Epsilon: 0.0100 | States visited: 298
Episode 18500/20000 | Avg Reward: -129.17 | Epsilon: 0.0100 | States visited: 298
Episode 18600/20000 | Avg Reward: -123.55 | Epsilon: 0.0100 | States visited: 298
Episode 18700/20000 | Avg Reward: -128.67 | Epsilon: 0.0100 | States visited: 298
Episode 18800/20000 | Avg Reward: -125.88 | Epsilon: 0.0100 | States visited: 298
Episode 18900/20000 | Avg Reward: -134.62 | Epsilon: 0.0100 | States visited: 298
Episode 19000/20000 | Avg Reward: -133.89 | Epsilon: 0.0100 | States visited: 298
Episode 19100/20000 | Avg Reward: -135.13 | Epsilon: 0.0100 | States visited: 298
Episode 19200/20000 | Avg Reward: -139.95 | Epsilon: 0.0100 | States visited: 298
Episode 19300/20000 | Avg Reward: -145.34 | Epsilon: 0.0100 | States visited: 298
Episode 19400/20000 | Avg Reward: -148.02 | Epsilon: 0.0100 | States visited: 298
Episode 19500/20000 | Avg Reward: -144.66 | Epsilon: 0.0100 | States visited: 298
Episode 19600/20000 | Avg Reward: -144.87 | Epsilon: 0.0100 | States visited: 298
Episode 19700/20000 | Avg Reward: -150.99 | Epsilon: 0.0100 | States visited: 298
Episode 19800/20000 | Avg Reward: -154.24 | Epsilon: 0.0100 | States visited: 298
Episode 19900/20000 | Avg Reward: -151.35 | Epsilon: 0.0100 | States visited: 298
Episode 20000/20000 | Avg Reward: -145.82 | Epsilon: 0.0100 | States visited: 298

Resultados de la evaluación 


Q-Learning agent for MountainCar-v0
  Episodes trained : 20000
  States visited   : 298 / 400
  Epsilon          : 0.0100
  LR / Gamma       : 0.1 / 0.99

Evaluating (10 episodes) ...
  Mean reward: -149.30 +/- 15.03
  Reached the flag: 10/10 episodes


- Cambio Hiperparametros 1

        n_bins: int = 20,
        lr: float = 0.1,
        gamma: float = 0.95,
        epsilon_start: float = 1.0,
        epsilon_end: float = 0.01,
        epsilon_decay: float = 0.9995,

Resultados Entrenamiento

Episode 100/20000 | Avg Reward: -200.00 | Epsilon: 0.9512 | States visited: 54
Episode 200/20000 | Avg Reward: -200.00 | Epsilon: 0.9048 | States visited: 73
Episode 300/20000 | Avg Reward: -200.00 | Epsilon: 0.8607 | States visited: 97
Episode 400/20000 | Avg Reward: -200.00 | Epsilon: 0.8187 | States visited: 107
Episode 500/20000 | Avg Reward: -200.00 | Epsilon: 0.7788 | States visited: 114
Episode 600/20000 | Avg Reward: -200.00 | Epsilon: 0.7408 | States visited: 135
Episode 700/20000 | Avg Reward: -200.00 | Epsilon: 0.7046 | States visited: 140
Episode 800/20000 | Avg Reward: -200.00 | Epsilon: 0.6703 | States visited: 157
Episode 900/20000 | Avg Reward: -200.00 | Epsilon: 0.6376 | States visited: 171
Episode 1000/20000 | Avg Reward: -200.00 | Epsilon: 0.6065 | States visited: 184
Episode 1100/20000 | Avg Reward: -200.00 | Epsilon: 0.5769 | States visited: 192
Episode 1200/20000 | Avg Reward: -200.00 | Epsilon: 0.5487 | States visited: 209
Episode 1300/20000 | Avg Reward: -200.00 | Epsilon: 0.5220 | States visited: 228
Episode 1400/20000 | Avg Reward: -200.00 | Epsilon: 0.4965 | States visited: 235
Episode 1500/20000 | Avg Reward: -200.00 | Epsilon: 0.4723 | States visited: 242
Episode 1600/20000 | Avg Reward: -200.00 | Epsilon: 0.4492 | States visited: 246
Episode 1700/20000 | Avg Reward: -200.00 | Epsilon: 0.4273 | States visited: 247
Episode 1800/20000 | Avg Reward: -200.00 | Epsilon: 0.4065 | States visited: 248
Episode 1900/20000 | Avg Reward: -199.67 | Epsilon: 0.3866 | States visited: 257
Episode 2000/20000 | Avg Reward: -199.62 | Epsilon: 0.3678 | States visited: 259
Episode 2100/20000 | Avg Reward: -198.80 | Epsilon: 0.3498 | States visited: 259
Episode 2200/20000 | Avg Reward: -199.45 | Epsilon: 0.3328 | States visited: 262
Episode 2300/20000 | Avg Reward: -199.63 | Epsilon: 0.3165 | States visited: 265
Episode 2400/20000 | Avg Reward: -197.52 | Epsilon: 0.3011 | States visited: 271
Episode 2500/20000 | Avg Reward: -197.84 | Epsilon: 0.2864 | States visited: 273
Episode 2600/20000 | Avg Reward: -199.60 | Epsilon: 0.2724 | States visited: 275
Episode 2700/20000 | Avg Reward: -197.26 | Epsilon: 0.2592 | States visited: 275
Episode 2800/20000 | Avg Reward: -192.59 | Epsilon: 0.2465 | States visited: 278
Episode 2900/20000 | Avg Reward: -189.10 | Epsilon: 0.2345 | States visited: 278
Episode 3000/20000 | Avg Reward: -199.65 | Epsilon: 0.2230 | States visited: 278
Episode 3100/20000 | Avg Reward: -195.35 | Epsilon: 0.2122 | States visited: 278
Episode 3200/20000 | Avg Reward: -188.83 | Epsilon: 0.2018 | States visited: 279
Episode 3300/20000 | Avg Reward: -196.55 | Epsilon: 0.1920 | States visited: 284
Episode 3400/20000 | Avg Reward: -188.99 | Epsilon: 0.1826 | States visited: 284
Episode 3500/20000 | Avg Reward: -189.46 | Epsilon: 0.1737 | States visited: 285
Episode 3600/20000 | Avg Reward: -198.49 | Epsilon: 0.1652 | States visited: 285
Episode 3700/20000 | Avg Reward: -189.75 | Epsilon: 0.1572 | States visited: 285
Episode 3800/20000 | Avg Reward: -198.95 | Epsilon: 0.1495 | States visited: 285
Episode 3900/20000 | Avg Reward: -199.33 | Epsilon: 0.1422 | States visited: 285
Episode 4000/20000 | Avg Reward: -191.93 | Epsilon: 0.1353 | States visited: 286
Episode 4100/20000 | Avg Reward: -195.45 | Epsilon: 0.1287 | States visited: 287
Episode 4200/20000 | Avg Reward: -182.18 | Epsilon: 0.1224 | States visited: 288
Episode 4300/20000 | Avg Reward: -184.04 | Epsilon: 0.1164 | States visited: 288
Episode 4400/20000 | Avg Reward: -168.60 | Epsilon: 0.1107 | States visited: 290
Episode 4500/20000 | Avg Reward: -169.69 | Epsilon: 0.1053 | States visited: 290
